raw_time,text_content
2022-02-06T09:41:34.000Z,MMDA ALERT: Vehicular accident at Ortigas Madison WB involving car and MC as of 5:18 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-07T05:34:40.000Z,MMDA ALERT: Vehicular accident at C5 Eastwood NB involving 2 cars as of 1:31 PM. 1 occupied. MMDA on site. #mmda
2022-02-07T04:25:58.000Z,MMDA ALERT: Vehicular accident at Marcos Highway Barangka WB involving PUJ and Coaster as of 12:19 PM. 1 occupied. MMDA on site. #mmda
2022-02-07T04:20:33.000Z,MMDA ALERT: Vehicular accident at C5 Mckinley NB involving Taxi and Motorcycle as of 12:12 PM. 1 occupied. MMDA on site. #mmda
2022-02-07T02:03:07.000Z,MMDA ALERT: Vehicular accident at Commonwealth Market WB involving taxi and bus as of 10:00 AM. 1 occupied. MMDA on site. #mmda
2022-02-07T01:24:11.000Z,MMDA ALERT: Vehicular accident at Aurora Araneta SB involving SUV and Van as of 9:19 AM. 1 occupied. MMDA on site. #mmda
2022-02-07T01:16:34.000Z,MMDA ALERT: Vehicular accident at Aurora Katipunan WB involving Taxi and L300 van as of 9:02 AM. 1 occupied. MMDA on site. #mmda
2022-02-07T00:15:42.000Z,MMDA ALERT: Vehicular accident at EDSA Ortigas MRT SB involving Car and Motorcycle as of 7:38 AM. 1 occupied. MMDA on site. #mmda
2022-02-07T00:15:35.000Z,MMDA ALERT: Vehicular accident at Katipunan CP. Garcia NB involving 3 Motorcycles as of 7:38 AM. 1 occupied. MMDA on site. #mmda
2022-02-06T23:13:17.000Z,MMDA ALERT: Vehicular accident at C5 Bagong Ilog F/O SB involving 2 motorcycles as of 7:01 AM. 1 occupied. MMDA on site. #mmda
2022-02-06T10:07:19.000Z,MMDA ALERT: Vehicular accident at Commonwealth Tandang Sora WB involving MC and car as of 5:59 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-06T09:41:34.000Z,MMDA ALERT: Vehicular accident at Ortigas Madison WB involving car and MC as of 5:18 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-06T07:29:32.000Z,MMDA ALERT: Vehicular accident at C5 Julia Vargas NB involving car and MC as of 3:18 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-06T07:06:58.000Z,MMDA ALERT: Vehicular accident at Katipunan Ayala Heights SB involving wing van and MC as of 2:56 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-06T05:39:13.000Z,MMDA ALERT: Vehicular accident at EDSA Aurora EB involving Van and PUJ as of 1:22 PM. 1 occupied. MMDA on site. #mmda
2022-02-06T04:01:05.000Z,MMDA ALERT: Vehicular accident at Ortigas Madison WB involving Motorcycle and Car as of 11:49 AM. 1 occupied. MMDA on site. #mmda
2022-02-06T03:16:35.000Z,MMDA ALERT: Vehicular accident at Roxas P. Burgos WB involving car and taxi as of 11:07 AM. 1 occupied. MMDA on site. #mmda
2022-02-06T03:02:22.000Z,MMDA ALERT: Vehicular accident at EDSA Buendia NB involving Motorcycle as of 10:56 AM. 1 occupied. MMDA on site. #mmda
2022-02-06T01:31:29.000Z,MMDA ALERT: Vehicular accident at Katipunan Ayala Heights NB involving 2 Motorcycle as of 9:16 AM. 1 occupied. MMDA on site. #mmda
